time,Time,Humudity,Temp
10/19/2022 22:36,22:36:25,41,26
36:57.0,22:36:57,41,26
37:07.5,22:37:08,41,26
37:18.1,22:37:18,41,26
37:28.6,22:37:29,41,26
37:39.1,22:37:39,41,26
37:49.7,22:37:50,41,26
38:00.2,22:38:00,41,26
38:10.7,22:38:11,41,26
38:21.3,22:38:21,41,26
38:31.8,22:38:32,41,26
38:42.4,22:38:42,41,26
38:52.9,22:38:53,41,26
39:03.4,22:39:03,41,26
39:14.0,22:39:14,41,26
39:24.5,22:39:25,41,26
39:35.0,22:39:35,41,26
39:45.6,22:39:46,41,26
39:56.1,22:39:56,41,26
40:06.7,22:40:07,41,26
40:17.2,22:40:17,41,26
40:27.7,22:40:28,41,26
40:38.3,22:40:38,41,26
40:48.8,22:40:49,41,26
40:59.3,22:40:59,41,26
41:09.9,22:41:10,41,26
41:20.4,22:41:20,41,26
41:41.5,22:41:41,41,26
41:52.0,22:41:52,41,26
42:02.6,22:42:03,41,26
42:13.1,22:42:13,41,26
42:23.6,22:42:24,41,26
42:34.2,22:42:34,41,26
42:44.7,22:42:45,41,26
42:55.2,22:42:55,41,26
43:05.8,22:43:06,41,26
43:16.3,22:43:16,41,26
43:26.8,22:43:27,41,26
43:47.9,22:43:48,41,26
43:58.5,22:43:58,41,26
44:09.0,22:44:09,41,26
44:19.5,22:44:20,41,26
44:30.1,22:44:30,41,26
44:40.6,22:44:41,41,26
44:51.1,22:44:51,41,26
45:01.7,22:45:02,41,26
45:12.2,22:45:12,41,26
45:22.8,22:45:23,41,26
45:33.3,22:45:33,41,26
45:43.8,22:45:44,41,26
45:54.4,22:45:54,41,26
46:04.9,22:46:05,41,26
46:36.5,22:46:37,41,26
46:47.0,22:46:47,41,26
46:57.6,22:46:58,41,26
47:08.1,22:47:08,41,26
47:18.7,22:47:19,41,26
47:29.2,22:47:29,41,26
47:39.7,22:47:40,41,26
47:50.3,22:47:50,40,26
48:00.8,22:48:01,40,26
48:11.3,22:48:11,40,26
48:21.9,22:48:22,40,26
48:32.4,22:48:32,40,26
48:43.0,22:48:43,40,26
48:53.5,22:48:53,40,26
49:04.0,22:49:04,40,26
49:14.6,22:49:15,40,26
49:25.1,22:49:25,40,26
49:35.6,22:49:36,40,26
49:46.2,22:49:46,40,26
49:56.7,22:49:57,40,26
50:07.2,22:50:07,40,26
50:17.8,22:50:18,40,26
50:38.9,22:50:39,40,26
50:49.4,22:50:49,40,26
50:59.9,22:51:00,40,26
51:10.5,22:51:10,40,26
51:21.0,22:51:21,40,26
51:31.5,22:51:32,40,26
51:52.6,22:51:53,40,26
52:13.7,22:52:14,40,26
52:24.2,22:52:24,40,26
52:34.7,22:52:35,40,26
52:45.3,22:52:45,40,26
52:55.8,22:52:56,40,26
53:06.4,22:53:06,40,26
53:16.9,22:53:17,40,26
53:27.4,22:53:27,40,26
53:38.0,22:53:38,40,26
53:48.5,22:53:49,41,26
53:59.1,22:53:59,41,26
54:09.6,22:54:10,40,26
54:30.7,22:54:31,40,26
54:41.2,22:54:41,40,26
54:51.8,22:54:52,40,26
55:02.3,22:55:02,40,26
55:12.8,22:55:13,40,26
55:33.9,22:55:34,40,26
55:44.4,22:55:44,40,26
55:55.0,22:55:55,41,26
56:05.5,22:56:06,40,26
56:16.0,22:56:16,40,26
56:26.6,22:56:27,40,26
56:37.1,22:56:37,40,26
56:47.7,22:56:48,40,26
56:58.2,22:56:58,40,26
57:08.7,22:57:09,40,26
57:19.3,22:57:19,40,26
57:29.8,22:57:30,40,26
57:40.4,22:57:40,41,26
57:50.9,22:57:51,41,26
58:01.4,22:58:01,41,26
58:12.0,22:58:12,41,26
58:22.5,22:58:23,41,26
58:33.1,22:58:33,41,26
58:54.2,22:58:54,41,26
59:04.7,22:59:05,41,26
59:15.2,22:59:15,41,26
59:25.8,22:59:26,41,26
59:36.3,22:59:36,41,26
59:46.8,22:59:47,41,26
59:57.4,22:59:57,41,26
00:18.5,23:00:18,41,26
00:29.0,23:00:29,41,26
00:39.5,23:00:40,41,26
00:50.1,23:00:50,41,26
01:00.6,23:01:01,41,26
01:21.7,23:01:22,41,26
01:32.2,23:01:32,41,26
01:42.8,23:01:43,41,26
01:53.3,23:01:53,41,26
02:03.8,23:02:04,41,26
02:14.4,23:02:14,41,26
02:24.9,23:02:25,41,26
02:35.4,23:02:35,41,26
02:46.0,23:02:46,41,26
02:56.5,23:02:57,41,26
03:07.1,23:03:07,41,26
03:17.6,23:03:18,41,26
03:28.1,23:03:28,41,26
03:49.2,23:03:49,41,26
03:59.8,23:04:00,41,26
04:10.3,23:04:10,41,26
04:20.8,23:04:21,41,26
04:31.4,23:04:31,41,26
04:41.9,23:04:42,41,26
04:52.4,23:04:52,41,26
05:03.0,23:05:03,41,26
05:13.5,23:05:13,41,26
05:24.0,23:05:24,41,26
05:34.6,23:05:35,42,26
05:45.1,23:05:45,42,26
05:55.6,23:05:56,43,26
06:06.2,23:06:06,43,26
06:16.7,23:06:17,43,26
06:27.3,23:06:27,42,26
06:37.8,23:06:38,42,26
06:48.3,23:06:48,42,26
06:58.9,23:06:59,42,26
07:09.4,23:07:09,42,26
07:30.5,23:07:30,42,26
07:41.0,23:07:41,42,26
07:51.6,23:07:52,42,26
08:02.1,23:08:02,42,26
08:23.2,23:08:23,42,26
08:33.7,23:08:34,42,26
08:44.3,23:08:44,42,26
09:05.3,23:09:05,42,26
09:15.9,23:09:16,42,26
09:26.4,23:09:26,42,26
09:36.9,23:09:37,42,26
09:47.5,23:09:47,42,26
10:08.6,23:10:09,42,26
10:19.1,23:10:19,42,26
10:40.2,23:10:40,41,26
10:50.7,23:10:51,41,26
11:01.3,23:11:01,41,26
11:11.8,23:11:12,41,26
11:22.3,23:11:22,41,26
11:32.9,23:11:33,41,26
11:43.4,23:11:43,41,26
11:54.0,23:11:54,41,26
12:04.5,23:12:04,41,26
12:25.6,23:12:26,42,26
12:36.1,23:12:36,42,26
12:46.6,23:12:47,43,26
12:57.2,23:12:57,43,26
13:07.7,23:13:08,43,26
13:18.3,23:13:18,43,26
